001	American Christmas, An	Traditional	Robert W Smith	
002	Appalachian Carol	Traditional	Jerry Brubaker	2-Dec-07
003	Candlelight Carol	John Rutter	Jay Dawson	
004	Cantique De Noel       ( O Holy Night )		Robert W Smith	
005	Cest Noel	Andre Jutras		
006	Carols for Christmas	John Cavacas		
007	Christmas Finale, A		John Edmondson	
008	Christmas On A Snowy Night		John Moss	23-Nov-08
009	Christmas "Pop" Sing-A-Long		James D Ployhar	
010	Christmas            Sing-A-Long		James D Ployhar	26-Nov-06
011	Christmas Suite, The	Harold L Walters		
012	Do You Hear What I Hear	Words and Music by Noel Regney and Gloria Shayne	Jerry Nowak	
013	English Christmas, An	Clare Grundman		26-Nov-06
014	Fantasia On "God Rest You Merry Gentlemen"	Robert Washburn		
015	8 1/2"  x  11"  copies of  C-14     [but NO copy of score]			
016	Fireside Christmas, A	Smith & Bernard;   Lee & Coleman;   Martin & Blane 	James Swearingen	23-Nov-08
017	Hark!  The Herald Angels Sing	Traditional	Alan Lee Silva	2-Dec-07
018	Have Yourself A Merry Little Christmas	Hugh Martin and Ralph Blane	James Swearingen	
019	Herald Angels Sang,   And The		 James Swearingen, Setting by:	26-Nov-06
020	I Heard a March on Christmas Day		Steve Hodges	
021	I'll Be Home For Christmas	Kim Gannon, Walter Kent  and  Buck Ram	James Swearingen	
022	Irving Berlin Christmas,  An	Irving Berlin	Warren Barker	23-Nov-08
023	It's The Most Wonderful Time of The Year	Eddie Pola  and  George Wyle	Larry Clark	
024	Let It Snow!  Let It Snow!  Let It Snow!	Words by Sammy Cahn; Music by Julie Styne	Jerry Nowak	26-Nov-06
025	Midnight In Bethlehem		Warren Barker	23-Nov-08
026	Midnight Sleighride	E  Sauter   &   W  Finegan	Tom Wallace	
027	Most Wonderful Christmas,  A		Robert Sheldon	2-Dec-07
028	Nativity    (Away In A Manger)		James Curnow	2-Dec-07
029	Nutcracker Suite    ( Themes From The )	P  I  Tschaikowsky	Clair  W  Johnson	
030	O Holy Night	Adolphe Charles Adam	Calvin Custer	
031	On This Day Earth Shall Ring	Gustav Holst	Robert W Smith,   Setting by:	
032	Rudolph The Red Nosed Reindeer	Johnny Marks		
033	Santa at the Symphony		Mark Williams	
034	Sleigh Ride	Leroy Anderson	James Ployhar	23-Nov-08
035	Spirits Bright		John Cavacas	2-Dec-07
036	Stars and Stripes for Christmas	John Philip Sousa	Robert Foster	
037	Stille,  Stille,  Stille	German Traditional	James Curnow	26-Nov-06
038	Sussex Mummers' Christmas Carol,  The	Percy Aldridge Grainger	Larry Clark	
039	Swinging On The Housetop	Traditional	Ralph Ford	
040	Three Hymns	Franz Liszt	Philip Gordon	
041	Celtic Carol	Traditional	Robert W Smith	2-Dec-07
