C-001	American Christmas, An	Traditional	Robert W Smith	
C-002	Appalachian Carol	Traditional	Jerry Brubaker	2-Dec-07
C-003	Candlelight Carol	John Rutter	Jay Dawson	
C-004	Cantique De Noel       ( O Holy Night )		Robert W Smith	
C-005	Cest Noel	Andre Jutras		
C-006	Carols for Christmas	John Cavacas		
C-007	Christmas Finale, A		John Edmondson	
C-008	Christmas On A Snowy Night		John Moss	23-Nov-08
C-009	Christmas "Pop" Sing-A-Long		James D Ployhar	
C-010	Christmas            Sing-A-Long		James D Ployhar	26-Nov-06
C-011	Christmas Suite, The	Harold L Walters		
C-012	Do You Hear What I Hear	Words and Music by Noel Regney and Gloria Shayne	Jerry Nowak	
C-013	English Christmas, An	Clare Grundman		26-Nov-06
C-014	Fantasia On "God Rest You Merry Gentlemen"	Robert Washburn		
C-015	8 1/2"  x  11"  copies of  C-14     [but NO copy of score]			
C-016	Fireside Christmas, A	Smith & Bernard;   Lee & Coleman;   Martin & Blane 	James Swearingen	23-Nov-08
C-017	Hark!  The Herald Angels Sing	Traditional	Alan Lee Silva	2-Dec-07
C-018	Have Yourself A Merry Little Christmas	Hugh Martin and Ralph Blane	James Swearingen	
C-019	Herald Angels Sang,   And The		 James Swearingen, Setting by:	26-Nov-06
C-020	I Heard a March on Christmas Day		Steve Hodges	
C-021	I'll Be Home For Christmas	Kim Gannon, Walter Kent  and  Buck Ram	James Swearingen	
C-022	Irving Berlin Christmas,  An	Irving Berlin	Warren Barker	23-Nov-08
C-023	It's The Most Wonderful Time of The Year	Eddie Pola  and  George Wyle	Larry Clark	
C-024	Let It Snow!  Let It Snow!  Let It Snow!	Words by Sammy Cahn; Music by Julie Styne	Jerry Nowak	26-Nov-06
C-025	Midnight In Bethlehem		Warren Barker	23-Nov-08
C-026	Midnight Sleighride	E  Sauter   &   W  Finegan	Tom Wallace	
C-027	Most Wonderful Christmas,  A		Robert Sheldon	2-Dec-07
C-028	Nativity    (Away In A Manger)		James Curnow	2-Dec-07
C-029	Nutcracker Suite    ( Themes From The )	P  I  Tschaikowsky	Clair  W  Johnson	
C-030	O Holy Night	Adolphe Charles Adam	Calvin Custer	
C-031	On This Day Earth Shall Ring	Gustav Holst	Robert W Smith,   Setting by:	
C-032	Rudolph The Red Nosed Reindeer	Johnny Marks		
C-033	Santa at the Symphony		Mark Williams	
C-034	Sleigh Ride	Leroy Anderson	James Ployhar	23-Nov-08
C-035	Spirits Bright		John Cavacas	2-Dec-07
C-036	Stars and Stripes for Christmas	John Philip Sousa	Robert Foster	
C-037	Stille,  Stille,  Stille	German Traditional	James Curnow	26-Nov-06
C-038	Sussex Mummers' Christmas Carol,  The	Percy Aldridge Grainger	Larry Clark	
C-039	Swinging On The Housetop	Traditional	Ralph Ford	
C-040	Three Hymns	Franz Liszt	Philip Gordon	
C-041	Celtic Carol	Traditional	Robert W Smith	2-Dec-07
